Matricula,VIN,Año,Fabricante,Modelo,Categoria,DNI_Propietario
9189 MBN,ZFAAV63RWN9W30KZV,2022,Fiat,Tipo,berlina,95832419-K
9856 DVB,SB14FDC5H5NG7HBFD,2005,Toyota,Corolla,compacto,84777803-X
4831 KHY,UU1DDFKUFJZEAC86U,2018,Dacia,Sandero,urbanos,84777803-X
1023 JDR,KNAK3VE92FA47FPU9,2015,Kia,Ceed,deportivo,84777803-X
GR-7176-IM,KNAYBFG5LPKCSYSCB,1993,Kia,Sportage,SUV,41370399-T
6746 GYD,WVWRXWKM0A4HCE5TG,2010,Volkswagen,Passat,sedán,41370399-T
3802 JNR,TMAEP7UFCGULA5C7S,2016,Hyundai,i10,urbanos,41370399-T
6472 BCY,SJNFVYX2UY0RN8VEV,2000,Nissan,X-Trail,SUV,46578651-V
9437 FXY,VF78RGRCU7YJB9KUZ,2007,Citroën,C4,deportivo,20703624-J
8411 LYJ,ZFA7ZMN5JNX3XUJHM,2022,Fiat,Tipo,berlina,20703624-J
3002 HSR,VF72G5KJDDR7Z98C9,2013,Citroën,C3,urbanos,20703624-J
GI-4913-YF,VF799CFZ9T9ZLU18A,1996,Citroën,Berlingo,monovolumen,61724796-H
3026 DRG,WDBENKAV75XN5JVNZ,2005,Mercedes-Benz,Clase C,cupé,61724796-H
8563 HGM,SB1W57ST5BW62BUFZ,2011,Toyota,Auris,compacto,31453189-E
3197 FZR,WF0APLK4D8TSGHUAK,2008,Ford,Kuga,todoterreno,31453189-E
6238 BWT,JMBY8AWMB2A65T2W8,2002,Mitsubishi,Outlander,SUV,85625572-E
9646 MYW,WDBN8JCJNSWR76AEV,2025,Mercedes-Benz,GLC,SUV,38131669-S
5191 LMC,JMZNXP4ZVLLHE7JER,2020,Mazda,CX-5,SUV,38131669-S
8983 GMC,SB1A8RRRS9UE1ZB6D,2009,Toyota,Corolla,compacto,38131669-S
6600 LJD,VF7CXZ3TALWY1VUFK,2020,Citroën,C4,compacto,49019349-R
7039 HZB,WF08GP1A0EU8YWVEF,2014,Ford,Fiesta,deportivo,31714554-S
PM-8020-ML,WF0SVRAGTS8UGUTTS,1995,Ford,Mondeo,sedán,78782096-N
4429 LGP,WF0B8BUP9LTGRC94M,2020,Ford,Focus,compacto,35254404-G
3192 LCY,JMZHTZGZNKN95RXJ4,2019,Mazda,Mazda 3,deportivo,35254404-G
5734 JZP,W0LRBEVJLH4MHF2H6,2017,Opel,Insignia,berlina,35254404-G
4214 KVX,WVWB7DVVLKF3TF45W,2019,Volkswagen,Tiguan,SUV,94042185-S
A-4672-MB,WVW7TL5VXL4YZFSEJ,1990,Volkswagen,Polo,deportivo,94042185-S
AV-4195-BZ,WAU97U8BNWW2WYWKY,1998,Audi,A4,sedán,55293413-X
8813 LBN,VSSAW22MUKRFGMARW,2019,SEAT,Toledo,berlina,80377033-Z
1719 LPW,VF1PJNWADM5K1PF53,2021,Renault,Captur,SUV,69781151-W
6782 CDC,WBADBFMF82YGXNLF3,2002,BMW,Serie 3,descapotable,40410776-Y
2629 FXY,SJNT8HBWG7VH41KPB,2007,Nissan,Micra,urbanos,40410776-Y
2381 LBN,WBA2C6MNAKWWB8GZD,2019,BMW,X3,SUV,40252594-H
3324 MTK,WF010Z13DRKYFCBDW,2024,Ford,Kuga,SUV,26843778-H
8782 HFF,SB1NLD5FGB4KD541W,2011,Toyota,Corolla,sedán,20396570-D
1140 JRG,WDBERFNLGGHK18MZF,2016,Mercedes-Benz,Clase C,berlina,20396570-D
2215 LTD,WBA6ZF1Z2MC9H7DJC,2021,BMW,X3,SUV,20396570-D
TE-2543-EK,WVWLETF8LR9MYZS1R,1994,Volkswagen,Golf,compacto,18881842-S
2663 DVW,VF167LL0F6D9P7FME,2006,Renault,Clio,deportivo,18881842-S
6285 FHD,SJNZVPDMD65NPTV00,2006,Nissan,Qashqai,SUV,16813835-F
J-8495-CF,SB177VFYLSKFFM1UN,1995,Toyota,RAV4,todoterreno,16813835-F
1059 HYT,WVWL98G3BEG3N1HD9,2014,Volkswagen,Golf,compacto,44288388-W
1206 BMW,SB10ZVHRS1GKDMLZW,2001,Toyota,Yaris,urbanos,44288388-W
7776 FKC,JMZ8E0JWB6AUE9EBV,2006,Mazda,Mazda 2,urbanos,45765348-V
CA-2621-TE,W0LS6KREXN4YPXF9M,1992,Opel,Astra,deportivo,45765348-V
4568 CRV,VSSB9785U4VES5S1Y,2004,SEAT,Ibiza,urbanos,65731646-S
CC-8243-MW,WVWKKUA6UPZP2D3NC,1993,Volkswagen,Polo,deportivo,65731646-S
1820 LFH,WAUWUDNHYLMMUXJS6,2020,Audi,A4,berlina,67002047-B
CC-1800-QJ,VF140EMG7W9YD79RU,1998,Renault,Mégane,berlina,67002047-B
LU-2322-WG,VSS0YR9CTPH324W56,1993,SEAT,Ibiza,urbanos,13117338-R
3704 MSS,SJNRD7364RU7SG6W2,2024,Nissan,X-Trail,todoterreno,13117338-R
3154 BBJ,WF0BZ2N9JY5NDPLJT,2000,Ford,Mondeo,sedán,18326120-L
4577 GSC,WBAV2FZLK9SEUF0NA,2009,BMW,Serie 1,compacto,18326120-L
4761 BHG,SJNCZCNL41KJYVWYJ,2001,Nissan,X-Trail,todoterreno,51362791-L
9514 KSS,JMZAVHCCTJA2SPLRP,2018,Mazda,Mazda 3,compacto,51362791-L
7796 HMT,TMA9PG7P0C4S2HC10,2012,Hyundai,Tucson,SUV,31887141-X
7972 GPW,WF0TNJZS19HUFH0ZS,2009,Ford,Kuga,SUV,57696412-S
4208 JBL,YV1489HUAE73U3F9J,2014,Volvo,V40,compacto,57696412-S
PO-6399-FA,WVW3YTTT5SD6399DG,1995,Volkswagen,Polo,urbanos,57696412-S
V-6469-UL,YV13TLNXVXLXL8FPT,1999,Volvo,V40,compacto,52428365-A
MA-6773-HJ,TMB1ZYKRJXHXB54GK,1999,Skoda,Fabia,urbanos,52428365-A
ZA-5988-TB,VSSFLWEFUVN82B5KK,1997,SEAT,Ibiza,urbanos,69361632-A
4328 MLY,JMZEK0G8EPTKJWSNA,2023,Mazda,CX-5,SUV,69361632-A
6620 LJR,W0LY8CFNPLKTC6GML,2020,Opel,Corsa,urbanos,60412099-T
6062 HXN,W0LMEDTMEER7T19V8,2014,Opel,Astra,deportivo,15381528-W
SE-2918-BW,WVWC2WDNURLCR934Y,1994,Volkswagen,Golf,compacto,15381528-W
2761 MDF,TMB5ZL8VDN6LE289L,2022,Skoda,Kodiaq,SUV,82027360-E
7940 BZF,VF1UWC6KX23KYTLG3,2002,Renault,Clio,deportivo,82027360-E
5948 DFF,W0LUM0P4Z4V4B1FVJ,2004,Opel,Corsa,urbanos,51440307-W
Z-4211-MD,SB11L31Y0SMK1XWU8,1995,Toyota,Corolla,sedán,42345428-J
P-5883-AU,VF7E9C3UZW42BS9CB,1998,Citroën,Berlingo,monovolumen,42345428-J
3595 CFM,VF7VLLHZG3224FSMA,2003,Citroën,Berlingo,monovolumen,37206994-D
M-2260-FI,VSSPUXN2FMWDY9EER,1991,SEAT,Toledo,sedán,37206994-D
SA-5724-IG,VF1C2SNPWR2GM8PBD,1994,Renault,Laguna,berlina,37206994-D
3243 HZL,WAUA4HUH2EY0ZP7CT,2014,Audi,Q3,SUV,96203683-L
4475 FKC,YV16N61LT6D6UUSAX,2006,Volvo,XC90,SUV,18238116-J
7467 LGG,WDBG40KBTLX1ZVX8X,2020,Mercedes-Benz,Clase C,cupé,18238116-J
9117 BKB,WDB0MLLME1RHY7ZJ4,2001,Mercedes-Benz,Clase C,descapotable,54778384-C
2207 KBM,WDBL85RUJH89CPD1C,2017,Mercedes-Benz,GLC,SUV,80611630-B
1804 LXD,JMZ0S1N3HNJLZY292,2022,Mazda,CX-5,SUV,80611630-B
SA-4021-VU,W0L4PLS3AVWCHMDT4,1997,Opel,Corsa,urbanos,62134888-C
8562 LMX,VF749D7FWMAMF2LFY,2021,Citroën,Berlingo,monovolumen,62134888-C
3356 KXR,SB1BZBP7FK10T5M0D,2019,Toyota,Corolla,sedán,62134888-C
9359 DNP,WBACHWSKV5UYAESKL,2005,BMW,Serie 3,berlina,79436802-T
HU-8356-LB,WVWB2SKWNL93D4BNT,1990,Volkswagen,Passat,sedán,79436802-T
CC-8627-WA,W0LHYSYMYNXKMH0HV,1992,Opel,Astra,compacto,79436802-T
2755 JCY,UU1GZNYAFFZXFHL1M,2015,Dacia,Sandero,urbanos,94888632-Q
3554 MGN,UU1VH240KPDGEBVPA,2023,Dacia,Sandero,urbanos,94888632-Q
6396 LTD,VSSBTFSZYMTFUCGWX,2021,SEAT,León,deportivo,18161903-E
4345 JCK,YV1DTD07NFZFG94LR,2015,Volvo,XC60,SUV,18161903-E
6944 MTK,WVW9EUH82RY1B1V5N,2024,Volkswagen,Polo,deportivo,18161903-E
ML-6855-KW,WF0JKSVWBN1G1TRZA,1992,Ford,Fiesta,urbanos,21691806-T
1029 LMX,WAU9W1J4TM01EAE6J,2021,Audi,Q3,SUV,21691806-T
6940 MLY,WBASBJMAJP35HD92Y,2023,BMW,Serie 3,descapotable,21691806-T
5305 BRT,SB1G035CV102XLNW0,2001,Toyota,RAV4,todoterreno,60866081-P
9143 BPG,JMBGBAKWS1XBY31JS,2001,Mitsubishi,Outlander,SUV,60866081-P
CC-2572-LC,ZFAJ41EJNLSG8TKPS,1990,Fiat,Panda,urbanos,60866081-P
9399 KCV,WBAFTYJ5VHAPBXEVA,2017,BMW,Serie 1,deportivo,21454335-G
7465 JDR,WF025UFY8FSVG7W2N,2015,Ford,Kuga,todoterreno,69233126-K
TF-4914-DL,YV1DFCZA6VRK2TPRY,1997,Volvo,V40,compacto,69233126-K
7817 KKR,WVWTUW4MVJJF597K7,2018,Volkswagen,Golf,descapotable,81568862-Y
6150 MGN,SJN738T9RPY5VUZ8P,2023,Nissan,Micra,urbanos,39655665-P
MA-7020-LY,VSS0DVPVGTD8TUHR3,1996,SEAT,Toledo,sedán,83108813-S
6274 BXP,WF0DJUNWY2BLM2HNU,2002,Ford,Fiesta,urbanos,93083953-D
T-5336-TO,TMBESAL2XX4DBRNSL,1999,Skoda,Octavia,compacto,47382283-Y
NA-2234-BY,VSS8RKVV6NCESGUC6,1992,SEAT,Ibiza,urbanos,47382283-Y
SO-4097-IL,ZFALURZPENY3XK2A8,1992,Fiat,Panda,urbanos,29152295-W
1771 BMW,TMB3UCXWK1M51AH5D,2001,Skoda,Fabia,urbanos,29398084-J
7324 GKS,UU1B178TC9AW7ZLTH,2009,Dacia,Sandero,urbanos,29398084-J
HU-2407-QR,VSSX1RT4AR0B15MVB,1994,SEAT,Toledo,berlina,29398084-J
BA-5477-FO,VSSVWAHSCMZKR1E6W,1991,SEAT,Toledo,berlina,87759867-D
3190 HJC,WF0BW16B0C57X97PT,2012,Ford,Kuga,SUV,87759867-D
3704 DPK,W0LRLHHZW5LW17VGX,2005,Opel,Corsa,deportivo,98850530-A
6722 MHG,KNADHURAPPBBMUSL6,2023,Kia,Ceed,compacto,98850530-A
4054 JGR,YV19VAAM6FCA7V3WL,2015,Volvo,XC60,SUV,72494738-A
AB-2853-CY,W0LUZAL2ERX8810UX,1994,Opel,Corsa,urbanos,72494738-A
1422 HKX,JMBUCGA2MC5CRRXH8,2012,Mitsubishi,ASX,SUV,20962842-K
BI-2247-FM,ZFA6EVP9UVS4FELR0,1997,Fiat,Panda,urbanos,45549292-T
P-7415-LW,VSS9VR9TRSCBY896W,1995,SEAT,Ibiza,deportivo,45549292-T
5465 LRP,VF34ZNH6DMPB5152A,2021,Peugeot,208,deportivo,45549292-T
9676 DSC,WF0HGBC8X5H0SWNVR,2005,Ford,Mondeo,sedán,25808283-Y
SO-2448-UP,VSSBS7PNPNENA66G7,1992,SEAT,Toledo,sedán,25808283-Y
6930 GKH,YV1J8FPNU8K6C9V7P,2008,Volvo,XC60,SUV,25808283-Y
1536 GYM,YV1CSGWEEA5KC18GY,2010,Volvo,XC90,todoterreno,14430261-S
1926 HSZ,UU10W7YPWDKC5FVYZ,2013,Dacia,Lodgy,urbanos,14430261-S
9956 FKY,JMBHMKR9S71ZL7LDN,2007,Mitsubishi,Outlander,todoterreno,14430261-S
6133 LTP,UU1D6WG5GMGFNC4FA,2021,Dacia,Lodgy,urbanos,48530031-P
GU-2959-TG,W0LM7HFHBMHUEX3T9,1991,Opel,Corsa,urbanos,55779895-L
3254 DVW,WF016URSM6E2P9CMM,2006,Ford,Mondeo,sedán,55779895-L
3313 CBP,SJNRFTP9Z2WNDV6W7,2002,Nissan,Micra,urbanos,50962221-V
5345 JNR,W0LJ1NCJ1G69G1TSV,2016,Opel,Corsa,deportivo,40718174-D
6068 GXP,SJNS9SRS2AS8ULS2J,2010,Nissan,Micra,deportivo,40718174-D
5572 LFY,WVW41FUW7LRK59KX7,2020,Volkswagen,Golf,deportivo,40718174-D
7632 HTV,YV1ZKLW69D3MUULWX,2013,Volvo,XC90,todoterreno,38357079-W
8385 MWV,WAUY3WNWTRL6L9YH9,2024,Audi,A1,urbanos,38357079-W
GU-8866-HH,YV18TVTDGV4XDVF82,1997,Volvo,V40,compacto,38357079-W
2286 BKB,VF15XYRGF1GAGSS1S,2001,Renault,Laguna,berlina,54847772-V
SE-2629-DS,SB1W9H53TMPKNVSTM,1991,Toyota,Corolla,compacto,54847772-V
7703 KRJ,WBAECKZ1LJ6VGHDEA,2018,BMW,X1,SUV,54847772-V
4365 JFG,UU1HJT4TUFVC4Y035,2015,Dacia,Sandero,urbanos,72153880-M
4050 MWV,TMBLLMFBCR1GFWU4E,2024,Skoda,Fabia,urbanos,72153880-M
4019 DGX,WDBMTM7ET5YKKECKP,2005,Mercedes-Benz,Clase A,deportivo,72153880-M
8037 MFZ,WAUE477N7P5L1D5H2,2023,Audi,Q5,SUV,29431313-F
9757 HHT,SB12AY709BHUH8MY8,2011,Toyota,Corolla,sedán,42238963-S
7424 MWV,TMADKTSN5RXPMC6TJ,2024,Hyundai,Tucson,SUV,65702977-G
7263 KCH,TMAB2FSAKH1UKN8H9,2017,Hyundai,Tucson,SUV,66204170-G
9428 GPW,YV1UJ2HZU91DFTX18,2009,Volvo,XC60,SUV,66204170-G
3120 BBJ,WAU9WS79LYE2ZB4DD,2000,Audi,A4,berlina,64253155-X
LE-9309-TU,SJNXHK00DVMV85NC1,1997,Nissan,Micra,deportivo,19851361-S
3321 LTD,JMZHYD9LKMNAJEF65,2021,Mazda,Mazda 2,urbanos,19851361-S
3781 DTB,VF7S81W1Z5030LZEU,2005,Citroën,C3,urbanos,11148770-A
L-2054-YB,W0LP1P22PRWVWC1SA,1994,Opel,Corsa,urbanos,11148770-A
2723 GCK,ZFAGWDF4Z824RDJPB,2008,Fiat,500,urbanos,68293847-Q
T-8763-XW,VSSAS2ZAPR102436Y,1994,SEAT,Toledo,berlina,96351194-P
ML-6197-YK,WF00X6L7NMWVK96MH,1991,Ford,Fiesta,deportivo,96351194-P
9455 JVZ,KNAUCSANBGH1W05K6,2016,Kia,Rio,urbanos,96351194-P
5412 HSZ,WAUFP3W01D2RXZRJT,2013,Audi,A1,urbanos,26448436-T
CS-1212-HP,WDBT44JDSV5UT9CH6,1997,Mercedes-Benz,Clase A,deportivo,26448436-T
CC-1964-XQ,SB1LNM7RWT8SHN2WD,1996,Toyota,Corolla,compacto,40172656-M
4998 CFM,VSSE4PKND3693LUMJ,2003,SEAT,Toledo,sedán,31781721-E
5852 HKL,WDB2Y4HCSCC5ASA33,2012,Mercedes-Benz,Clase A,deportivo,31781721-E
3586 BDR,VF1BSWPM0YBYBR8SD,2000,Renault,Mégane,compacto,31781721-E
PM-5597-RG,WDB6DNHP4TF3D2YKA,1996,Mercedes-Benz,Clase C,deportivo,32214675-R
1008 MDS,VSSV39HNAP1KGL6TR,2023,SEAT,León,compacto,32214675-R
3806 DFF,VF15EZ88C4AJTS3YF,2004,Renault,Laguna,berlina,53499723-K
1471 CCH,WAU6WND4V2BAEMVP1,2002,Audi,A3,deportivo,53499723-K
LO-3646-UU,WVW3L2ZA6RTRKV3MF,1994,Volkswagen,Golf,descapotable,53499723-K
6937 FRC,VF7ULDSP27KD5ZGB6,2007,Citroën,C4,deportivo,80507771-C
2652 BVW,SB10YANFT219UC6FM,2002,Toyota,Corolla,compacto,80507771-C
7434 BVW,SJNK7LVHN2UKM3F9L,2002,Nissan,X-Trail,SUV,27530484-J
1610 CVR,VSSC7VA4K4USVVN7X,2004,SEAT,Ibiza,deportivo,27530484-J
MA-3105-GL,SJN2Y93DJMUJ77AL4,1991,Nissan,Micra,urbanos,27530484-J
4893 DCH,TMAN9MTJV4YPEYY3N,2004,Hyundai,Tucson,SUV,28190488-D
8746 HDR,KNA6LCAEUBCT30T1N,2011,Kia,Sportage,SUV,28190488-D
5510 HRX,WF09A7J6YDM0NB5SS,2013,Ford,Fiesta,deportivo,25265402-V
6604 FSJ,SB1PJRYWL7KUFRZC5,2007,Toyota,Corolla,compacto,25265402-V
2191 GNY,ZFAE96YM39AERVKYY,2009,Fiat,Panda,urbanos,25265402-V
CU-7398-MD,VF1LPGC6GS52F9C76,1995,Renault,Mégane,deportivo,55550431-A
2642 JJH,YV1PF7HHVFEYU58HJ,2015,Volvo,XC90,todoterreno,55550431-A
TF-1188-HP,KNA7ZRDVTP4DUAXHJ,1993,Kia,Sportage,SUV,55550431-A
4564 CSS,SJN51FYHU4FC673CR,2004,Nissan,Micra,urbanos,33492202-Q
V-8632-DU,SB1VT38Z8NNHSUBXJ,1992,Toyota,Corolla,compacto,46758917-D
6713 KRJ,WF0SFV51GJZ3ZHRPY,2018,Ford,Fiesta,urbanos,46758917-D
6679 GWV,WAU1PC5D4AXAXVRY6,2010,Audi,Q5,SUV,47785495-M
4400 GSC,WDBYMW24L9R7HWZ1B,2009,Mercedes-Benz,Clase C,descapotable,47785495-M
8239 LHG,WVWD674CALWPX14KX,2020,Volkswagen,Golf,deportivo,77772107-E
6220 CGJ,JMZNEAD853S5V4SJZ,2003,Mazda,Mazda 2,urbanos,77772107-E
7855 JPK,TMBF9VHVAGCU9ZS22,2016,Skoda,Fabia,urbanos,46526169-K
9108 KFC,WAU7NKF0THM6GCB5N,2017,Audi,A1,urbanos,46526169-K
5975 HCB,TMAM0PAT1BZGKH6AB,2011,Hyundai,i20,urbanos,46526169-K
8733 DRG,JMBE8N3FC5JGLGX0C,2005,Mitsubishi,Outlander,SUV,95888510-S
2295 HZL,WF0HMAC4LEE9W0S21,2014,Ford,Focus,berlina,95888510-S
8075 GVM,WVW2W62XMA0Y8M02Y,2010,Volkswagen,Tiguan,SUV,95888510-S
3921 MJR,SB1JR2LSPP0EBEXS1,2023,Toyota,Corolla,sedán,81039518-F
1890 MWV,JMBZU13MMRE1ZZG68,2024,Mitsubishi,ASX,SUV,81039518-F
3499 BRT,TMBHC54ZV1G4SLT4X,2001,Skoda,Fabia,urbanos,81039518-F
1917 MXP,WDBK4ZZV8RYEP0WHR,2024,Mercedes-Benz,GLA,SUV,29809451-W
J-9422-WF,SB14Y4VSVMWS1M7P7,1991,Toyota,Corolla,compacto,73966737-W
4936 KZY,JMZVV82FFKGUB25RZ,2019,Mazda,Mazda 2,urbanos,31743302-J
3825 BDR,WF0XCU46GY4RG1KFU,2000,Ford,Mondeo,sedán,51363766-M
8473 GNY,VF7USXKZD9Z38GD3U,2009,Citroën,Berlingo,monovolumen,46226132-L
ML-4950-OG,VSSRD3XZVL1VS05RX,1990,SEAT,Ibiza,deportivo,46226132-L
3299 KJV,UU193M1KZJ4DVVFBD,2018,Dacia,Duster,SUV,46226132-L
8647 GKS,VF10WPRMF9SHM8LHR,2009,Renault,Laguna,berlina,11529907-F
8975 GWC,VSSA7SS8JA3SEZ6BB,2010,SEAT,Toledo,berlina,11529907-F
BU-7675-FC,WBAR9L8PELH7REUY3,1990,BMW,Serie 3,berlina,76318383-J
7008 HGC,SB1D2H1WKBSCA1P9A,2011,Toyota,Corolla,sedán,76318383-J
3706 JCK,JMZF6BAP2F4MNKCL6,2015,Mazda,CX-5,SUV,76318383-J
8289 HYD,ZFAN51X5MEZBH5HHJ,2014,Fiat,500,descapotable,90198662-E
7592 HGM,TMBEFWA10BS5K8LZJ,2011,Skoda,Octavia,compacto,90198662-E
1852 BDR,WVWFTUTBRY6NEV46H,2000,Volkswagen,Passat,sedán,90198662-E
9569 MJB,WF0DHV3N8PJ966H2F,2023,Ford,Kuga,SUV,46517595-A
5827 BMF,SB1UWYUEM1GTDZYK5,2001,Toyota,Yaris,urbanos,46517595-A
H-4894-FG,SJN39CZTJNPG6FHBP,1992,Nissan,Micra,urbanos,46517595-A
4419 CCH,VSSX3EB7M29APZMKF,2002,SEAT,Toledo,sedán,58269670-K
1077 HCR,W0LTYVM8HBB656ZZY,2011,Opel,Astra,compacto,58269670-K
2251 MXP,WDBPB5TM7RSW551WK,2024,Mercedes-Benz,Clase A,compacto,62611002-B
6524 FWC,ZFAYTN0G27X3HU5HT,2007,Fiat,500,deportivo,21808190-G
6473 LCY,TMBC502WZK8HPY7W4,2019,Skoda,Karoq,SUV,18085178-W
6464 CNK,VF1BC6XKJ3AGR4BSK,2003,Renault,Laguna,berlina,18085178-W
8435 GHG,KNAE506D78K9J3PGW,2008,Kia,Rio,urbanos,18085178-W
9383 HSK,TMA43DEMXDP45939R,2013,Hyundai,i30,compacto,66089654-M
CR-3871-CB,WDBXT8ZJWWWPNKW7J,1998,Mercedes-Benz,Clase C,descapotable,55975218-A
PM-9897-JU,VF7RZPU5FVAXLGJ2B,1997,Citroën,Berlingo,monovolumen,13811869-R
5065 KCV,SJNB67R2CHK3V8FNA,2017,Nissan,X-Trail,SUV,12878716-G
3040 JBL,WBAYRMCNYERKHNPP7,2014,BMW,X3,SUV,12878716-G
3055 GBN,VF7XBF6UU8TR4ZYC7,2008,Citroën,Berlingo,todoterreno,12878716-G
2409 BPG,JMB1YREV91CAM4PU2,2001,Mitsubishi,Outlander,SUV,99436985-G
4519 LWR,TMAMH1DKNNGCRS0GC,2022,Hyundai,i10,urbanos,90901912-R
6428 HLW,JMBES28G2CV2ME44W,2012,Mitsubishi,Outlander,todoterreno,63672184-L
V-4294-BG,ZFAVPHJT9XSPDV8LT,1999,Fiat,Panda,urbanos,63672184-L
1819 DTB,JMZL9GM0U506GYD98,2005,Mazda,Mazda 3,compacto,63672184-L
4044 GMN,SJN4625129HC700E2,2009,Nissan,X-Trail,todoterreno,96470934-X
HU-1219-JX,WF03AAKX9R95CLE7R,1994,Ford,Mondeo,sedán,99701873-R
8916 HJM,JMZW5M4DACNWNCDUS,2012,Mazda,Mazda 3,deportivo,99701873-R
4906 HFT,WAU2T6YH3B8VHB87J,2011,Audi,A3,compacto,62377752-G
LE-9368-NA,SJN4D25KLMTWU0625,1991,Nissan,Micra,deportivo,62377752-G
GI-7570-ZC,WVWTGBTCYTL9K47DM,1996,Volkswagen,Golf,descapotable,62377752-G
4596 GGV,JMBWEMSGD8WWVZENN,2008,Mitsubishi,Outlander,SUV,14481223-D
TO-9331-RF,SJN61X0LPTTDMV94T,1996,Nissan,Micra,urbanos,96129019-J
5379 BFJ,W0LKSFMA91C3KVMMY,2001,Opel,Astra,compacto,96129019-J
5468 GYM,VF3A2JL18AVD0GH7Y,2010,Peugeot,3008,SUV,21167494-L
TE-2152-PK,WF07NFS78X54BCDGK,1999,Ford,Mondeo,berlina,63240492-Z
MU-9497-EF,VF1J61S0LTA6FYFA5,1996,Renault,Mégane,deportivo,63240492-Z
4756 JCY,ZFADVBE8KFUCR1WVV,2015,Fiat,Tipo,berlina,63240492-Z
7666 GVM,VF328RN8ZAFWYEEDG,2010,Peugeot,5008,SUV,68935325-R
5537 LVV,JMBV1HUDVMYAZDRPH,2021,Mitsubishi,Eclipse Cross,deportivo,79585026-N
5506 FWC,TMAYPUJE97FDB0KA5,2007,Hyundai,i10,urbanos,79585026-N
2398 LMX,TMAZ24LBAMX4ZYKFF,2021,Hyundai,i10,urbanos,33221043-G
3697 HZB,VF18DXB9NE7XD7CJE,2014,Renault,Mégane,deportivo,33221043-G
9933 GHG,TMAKFC3LX8VH137X3,2008,Hyundai,i30,compacto,65877668-X
3807 MPL,KNAPFG9JXRJMM86M3,2024,Kia,Rio,urbanos,21668539-D
3180 GMN,UU1B0C65R9AHXFY4A,2009,Dacia,Sandero,urbanos,21668539-D
8721 GMN,TMBX04TA9980HXTFH,2009,Skoda,Fabia,urbanos,21668539-D
SE-1011-GF,SJNNCDU9JV20G1SHL,1997,Nissan,Micra,deportivo,40512131-T
3284 JCY,JMBYRAAU1F8WUUMNB,2015,Mitsubishi,ASX,SUV,20337606-V
TE-4920-HR,KNA6S57DVRTUPTKBN,1994,Kia,Sportage,SUV,84246767-K
5834 CXT,JMZUZ07U84WCG2W53,2004,Mazda,Mazda 3,deportivo,84246767-K
PO-2428-VP,WVWN8FUY0SF48CLRN,1995,Volkswagen,Passat,sedán,45675570-P
4314 JMY,WDBHBNLGMG2YLG8SM,2016,Mercedes-Benz,GLA,SUV,45675570-P
CR-3808-TB,SB1KPGXLSLJU0DY0U,1990,Toyota,Corolla,compacto,45675570-P
4609 KZK,WF0ADJRHLKKEGJYN4,2019,Ford,Mondeo,sedán,98060978-H
CA-5010-SH,WVWBAP15PPH3KP8Z2,1993,Volkswagen,Golf,descapotable,58942426-G
5439 HXN,VF7WP04ZDEV3810WS,2014,Citroën,C4,compacto,58942426-G
1218 BBJ,TMBZ58HTMYH0WS26P,2000,Skoda,Octavia,berlina,33982625-X
9474 GBN,TMBBWEMSX8TVB7Y1X,2008,Skoda,Octavia,berlina,33982625-X
8734 JNR,SB17ZEHS8GZ63CK1R,2016,Toyota,Yaris,urbanos,44828252-X
CO-5125-MX,WDBH8VRKSP2AVAHSA,1993,Mercedes-Benz,Clase C,descapotable,59725102-J
GR-4836-JT,ZFAN1PECWPU0KYYAA,1993,Fiat,Panda,urbanos,59725102-J
6085 KGN,VF14GWAT2H5Y2RWXK,2017,Renault,Kadjar,SUV,18085193-V
TO-6232-YE,YV17X616TW0KSAK3V,1998,Volvo,V40,compacto,99036617-C
9310 NCJ,JMBRRH165SXY3TS6W,2025,Mitsubishi,Eclipse Cross,deportivo,96662663-B
TO-9813-HU,WF0JXN1N4VJXXH1JS,1997,Ford,Fiesta,urbanos,96662663-B
4235 KKR,WAUVNFCR8JTB6B62E,2018,Audi,Q5,SUV,42859742-R
3488 JFG,VF1CJN20LFX1JLC0H,2015,Renault,Captur,SUV,85853328-D
5107 CHF,WF0DHRS7L3R55C93L,2003,Ford,Mondeo,sedán,63720506-H
1977 LWD,VF3A2LXB2NLVHXD56,2022,Peugeot,208,urbanos,63720506-H
A-2774-CA,WVWE2A7F9RNTZ81BY,1994,Volkswagen,Passat,sedán,63720506-H
4561 KGN,WAUA6C2SKHD68WW9M,2017,Audi,A3,deportivo,36581733-A
9258 KKR,KNAV8FBMPJNAHAXW3,2018,Kia,Stonic,SUV,36581733-A
9843 JYB,WBALXUA73HX51HWDB,2017,BMW,Serie 1,deportivo,36581733-A
4253 BZF,WAUHP0PV42LH2HXHR,2002,Audi,A3,deportivo,14312536-G
OR-4692-BL,ZFA6CFB92LEJA6RDV,1990,Fiat,Panda,urbanos,76711877-T
7621 FXB,WAUPHE9M27F87YZZS,2007,Audi,A4,berlina,76711877-T
GR-5979-BW,WBAL3K19NLL732J72,1990,BMW,Serie 3,cupé,23702936-X
8785 LWD,WVWKM0CTENGJDBHY3,2022,Volkswagen,Golf,compacto,23702936-X
4037 LSR,WVWGF7S5RM64X7TW0,2021,Volkswagen,Passat,berlina,24459458-Q
5376 GXP,VF1169KHMA1Z780P6,2010,Renault,Clio,deportivo,21582585-Y
6510 CDV,WBAD1PFRL3R98X8W9,2003,BMW,X3,SUV,21582585-Y
